"","x"
"1",841.074
"2",632.962
"3",672.459
"4",617.138
"5",623.144
"6",498.026
"7",512.482
"8",466.393
"9",650.358
"10",769.301
"11",930.017
"12",1074.643
"13",1080.437
"14",784.808
"15",955.707
"16",547.182
"17",618.498
"18",538.521
"19",642.5
"20",687.608
"21",646.095
"22",659.89
"23",786.651
"24",930.103
"25",1073.177
"26",908.278
"27",942.656
"28",779.457
"29",544.375
"30",452.21
"31",540.9
"32",598.837
"33",673.451
"34",877.467
"35",885.011
"36",914.181
"37",953.135
"38",727.264
"39",915.158
"40",629.89
"41",647.796
"42",454.342
"43",488.369
"44",695.847
"45",848.12
"46",736.015
"47",978.292
"48",797.773
"49",625.512
"50",489.54
"51",575.447
"52",622.878
"53",440.574
"54",359.256
"55",497.666
"56",483.084
"57",582.29
"58",697.927
"59",817.529
"60",513.299
"61",646.122
"62",804.35
"63",616.273
"64",636.291
"65",586.834
"66",562.502
"67",520.667
"68",620.574
"69",782.93
"70",877.56
"71",828.115
"72",1067.783
"73",1044.123
"74",841.118
"75",730.021
"76",482.671
"77",502.584
"78",475.884
"79",549.749
"80",546.421
"81",654.028
"82",728.911
"83",858.512
"84",827.978
"85",822.961
"86",705.367
"87",456.143
"88",572.612
"89",679.56
"90",397.533
"91",397.122
"92",476.045
"93",569.47
"94",686.495
"95",792.487
"96",1005.207
"97",1251.577
"98",1102.135
"99",1139.496
"100",765.891
"101",467.006
"102",280.204
"103",186.803
"104",504.367
"105",336.245
"106",691.17
"107",934.013
"108",1046.094
"109",1050.809
"110",801.27
"111",902.11
"112",713.149
"113",766.262
"114",615.725
"115",692.51
"116",585.81
"117",380.03
"118",405.569
"119",864.386
"120",1198.501
"121",1056.737
"122",948.789
"123",814.1
"124",683.515
"125",535.653
"126",383.834
"127",570.259
"128",604.846
"129",625.243
"130",624.443
"131",646.182
"132",774.649
"133",881.489
"134",757.744
"135",951.083
"136",563.727
"137",467.867
"138",526.104
"139",536.857
"140",647.853
"141",720.22
"142",890.102
"143",854.095
"144",882.351
"145",839.142
"146",756.003
"147",623.481
"148",659.287
"149",536.947
"150",384.404
"151",307.993
"152",423.052
"153",633.454
"154",841.938
"155",758.144
"156",869.947
"157",738.859
"158",680.621
"159",889.864
"160",447.032
"161",294.021
"162",472.218
"163",429.369
"164",602.943
"165",703.288
"166",862.922
"167",549.427
"168",946.955
"169",889.093
"170",910.787
"171",866.206
"172",483.638
"173",396.565
"174",390.836
"175",538.203
"176",388.517
"177",478.65
"178",718.302
"179",887.782
"180",870.056
"181",773.333
"182",685.153
"183",792.451
"184",691.213
